迭代	lr	测试准确率	测试混淆>5	测试混淆>10	应用准确率	应用混淆>5	应用混淆>10
207	0.005	0.999005917895	5	3	0.99930975262	9	4
208	0.05	0.998089498455	7	3	0.996787062792	19	13
209	0.01	0.997390534474	8	5	0.997678632324	13	9
210	0.005	0.998866125099	5	1	0.999264557851	10	4
211	0.05	0.998757397369	4	1	0.998488029549	16	8
212	0.01	0.999425296283	2	1	0.998525007087	6	4
213	0.005	0.999471893882	1	1	0.999013932315	9	8
214	0.05	0.991860952766	23	14	0.992464799438	55	29
215	0.01	0.999534024013	2	1	0.999227580313	10	4
216	0.005	0.999130178158	3	1	0.998939977238	14	8
217	0.05	0.992404591417	23	10	0.99450678127	32	22
218	0.01	0.998027368323	9	5	0.998249729859	14	9
219	0.005	0.998089498455	4	1	0.998635939702	11	7
220	0.05	0.968080644911	23	18	0.977143772777	29	23
221	0.01	0.999611686678	1	0	0.999317969851	8	3
222	0.005	0.999332101086	2	1	0.998479812318	12	7
223	0.05	0.995355772666	17	7	0.995817429568	29	18
224	0.01	0.997468197139	10	2	0.997074665867	24	16
225	0.005	0.998508876843	7	4	0.998652374163	12	10
226	0.05	0.992699709542	14	9	0.994441043424	26	19
227	0.01	0.999658284276	1	0	0.999490531696	7	4
228	0.005	0.999036982961	3	1	0.999198820006	12	7
229	0.05	0.927400941271	56	39	0.942672489944	85	61
230	0.01	0.999238905888	2	1	0.999174168314	12	7
231	0.005	0.999751479474	1	0	0.999650767695	5	2
232	0.05	0.992808437272	17	13	0.993146829587	27	24
233	0.01	0.998866125099	6	2	0.998405857242	16	7
234	0.005	0.999534024013	1	0	0.999379599081	7	3
235	0.05	0.998369084047	6	1	0.997621111709	10	7
236	0.01	0.999285503487	2	0	0.998775632624	12	7
237	0.005	0.999580621612	1	0	0.999165951083	8	5
238	0.05	0.985352821485	17	14	0.983080721966	33	23
239	0.01	0.999704881875	0	0	0.999445336927	7	5
240	0.005	0.999269970954	4	0	0.998405857242	11	7
241	0.05	0.98097264721	43	28	0.983220414888	54	41
242	0.01	0.999704881875	1	0	0.999576812618	4	4
243	0.005	0.995480032929	13	5	0.996561088947	19	14
244	0.05	0.925785557851	53	40	0.943432583785	79	62
245	0.01	0.999829142138	0	0	0.999774026155	5	0
246	0.005	0.998943787763	3	2	0.999170059698	11	5
247	0.05	0.995386837732	10	6	0.994227395425	14	10
248	0.01	0.999720414408	0	0	0.999334404312	8	5
249	0.005	0.99989127227	0	0	0.999802786463	4	1
250	0.05	0.957021481493	35	27	0.971375276818	58	38
251	0.01	0.99951849148	0	0	0.99901804093	9	5
252	0.005	0.998990385362	2	2	0.998409965857	10	5
253	0.05	0.993895714574	11	8	0.993376912047	19	14
254	0.01	0.998369084047	6	2	0.998044299091	17	12
255	0.005	0.999378698684	1	1	0.998890673854	10	8
256	0.05	0.99672263556	7	3	0.997600568632	13	7
257	0.01	0.981034777341	33	23	0.981753639206	54	41
258	0.005	0.998291421382	6	2	0.998073059398	12	8
259	0.05	0.991301781582	17	10	0.990882982526	29	21
260	0.01	0.990183439213	20	11	0.986462112403	34	26
261	0.005	0.999254438421	3	2	0.99872632924	10	7
262	0.05	0.973392771159	41	28	0.977357420776	57	48
263	0.01	0.999611686678	0	0	0.999412468004	7	6
264	0.005	0.999425296283	1	0	0.999235797544	12	4
265	0.05	0.866513412342	79	63	0.903094198224	105	84
266	0.01	0.999735946941	1	0	0.999342621543	6	3
267	0.005	0.998943787763	5	1	0.999207037236	9	4
268	0.05	0.981469688262	13	8	0.988237034237	18	13
269	0.01	0.998741864836	4	2	0.99849624678	7	5
270	0.005	0.99978254454	0	0	0.99965487631	5	2
271	0.05	0.995650890791	10	5	0.996150227412	17	12
272	0.01	0.999425296283	2	0	0.999128973545	8	6
273	0.005	0.997809912862	7	4	0.997912823399	20	10
274	0.05	0.977617620105	17	10	0.985332243181	34	22
275	0.01	0.998524409375	4	3	0.998890673854	9	6
276	0.005	0.999658284276	1	0	0.999153625237	5	4
277	0.05	0.895124337926	76	57	0.922548491933	92	76
278	0.01	0.999720414408	0	0	0.99907967016	6	3
279	0.005	0.999099113092	2	1	0.998430508934	16	11
280	0.05	0.992544384213	16	9	0.991495166214	27	20
281	0.01	0.998803994967	4	1	0.999046801238	9	6
282	0.005	0.999627219211	2	0	0.999523400619	6	3
283	0.05	0.994066572436	18	10	0.993438541277	27	21
284	0.01	0.995138317205	15	7	0.994112354196	24	18
285	0.005	0.999549556546	1	0	0.999371381851	7	6
286	0.05	0.988148677405	22	11	0.989601094535	35	25
287	0.01	0.999798077072	0	0	0.999445336927	6	4
288	0.005	0.999456361349	1	1	0.99901804093	11	7
289	0.05	0.990742610397	15	9	0.992830466205	26	18
290	0.01	0.999363166152	1	1	0.998537332933	9	6
291	0.005	0.998726332303	6	4	0.998385314165	10	8
292	0.05	0.9953247076	19	9	0.991733465905	41	25
293	0.01	0.999471893882	2	1	0.998483920934	8	5
294	0.005	0.997561392336	9	4	0.995065552958	25	17
295	0.05	0.975831378823	15	7	0.985258288104	25	16
296	0.01	0.995883878784	10	6	0.991951222518	21	15
297	0.005	0.998353551514	4	2	0.99821275232	13	6
298	0.05	0.950761870738	46	33	0.956995123074	72	55
299	0.01	0.999052515494	3	1	0.998730437855	9	6
300	0.005	0.99978254454	0	0	0.99970828831	4	3
301	0.05	0.999099113092	3	1	0.99930975262	7	4
302	0.01	0.999316568553	4	1	0.999605572926	6	4
303	0.005	0.999502958948	2	0	0.999124864929	10	6
304	0.05	0.994905329212	6	2	0.996207748027	16	12
305	0.01	0.997545859803	8	4	0.994942294497	16	6
306	0.005	0.999580621612	0	0	0.999568595388	7	5
307	0.05	0.968515555832	26	18	0.975335982021	46	34
308	0.01	0.992886099936	17	13	0.994063050811	33	16
309	0.005	0.998943787763	4	1	0.999244014775	11	6
310	0.05	0.940168683307	58	40	0.936735540755	82	69
311	0.01	0.99978254454	0	0	0.999679528002	7	1
312	0.005	0.999565089079	1	0	0.999379599081	8	6
313	0.05	0.96705549774	34	25	0.975652345403	53	36
314	0.01	0.998633137106	3	1	0.998722220624	6	3
315	0.005	0.998881657632	4	2	0.99821275232	10	8
316	0.05	0.99484319908	13	7	0.989527139459	19	12
317	0.01	0.997732250198	8	4	0.997727935708	15	9
318	0.005	0.998788462435	4	3	0.998640048317	10	5
319	0.05	0.995247044936	14	7	0.996811714484	25	13
320	0.01	0.998912722698	4	1	0.996819931715	15	8
321	0.005	0.999471893882	2	1	0.999506966157	5	3
322	0.05	0.967071030273	35	23	0.975064813407	46	37
323	0.01	0.999207840823	3	2	0.998167557551	9	7
324	0.005	0.999254438421	4	1	0.998845479085	9	7
325	0.05	0.949721191035	48	28	0.951066391116	67	50
326	0.01	0.999565089079	1	0	0.999605572926	6	2
327	0.005	0.998400149112	5	3	0.996680238793	15	10
328	0.05	0.99731287181	10	7	0.997584134171	17	12
329	0.01	0.998151628586	6	2	0.997070557252	11	8
330	0.005	0.999176775757	4	0	0.998208643705	14	8
331	0.05	0.986626489182	25	15	0.981387972439	48	34
332	0.01	0.999751479474	1	0	0.999502857542	8	4
333	0.005	0.999658284276	0	0	0.999223471698	8	6
334	0.05	0.994951926811	13	8	0.996100924028	15	10
335	0.01	0.998866125099	4	1	0.998282598781	15	8
336	0.005	0.999642751744	1	0	0.999556269542	5	4
337	0.05	0.994237430298	11	7	0.994173983426	22	13
338	0.01	0.999471893882	2	2	0.99947820585	7	5
339	0.005	0.999471893882	2	0	0.999428902466	7	3
340	0.05	0.97522561004	18	15	0.983056070274	35	23
341	0.01	0.997825445395	8	4	0.996951407406	17	13
342	0.005	0.998928255231	6	0	0.998952303084	15	6
343	0.05	0.986533293984	30	19	0.981737204745	43	35
344	0.01	0.99951849148	2	0	0.998459269242	8	5
345	0.005	0.997235209146	11	5	0.996437830487	15	13
346	0.05	0.976763330796	46	24	0.978815979227	68	47
347	0.01	0.999378698684	2	0	0.999223471698	6	6
348	0.005	0.999611686678	0	0	0.999523400619	5	2
349	0.05	0.996070269179	11	7	0.996178987719	20	12
350	0.01	0.999487426415	1	1	0.999519292003	7	3
351	0.005	0.999456361349	2	0	0.999087887391	10	3
352	0.05	0.995060654541	10	5	0.994794384345	23	14
353	0.01	0.997592457402	4	2	0.998459269242	12	6
354	0.005	0.998943787763	5	1	0.998660591394	12	8
355	0.05	0.806355912459	96	78	0.879609352852	125	103
356	0.01	0.999735946941	1	0	0.999552160926	4	4
357	0.005	0.998928255231	4	3	0.998993389238	10	8
358	0.05	0.997732250198	11	4	0.9946218225	26	19
359	0.01	0.999068048027	4	1	0.998976954776	10	6
360	0.005	0.998788462435	5	2	0.999112539083	11	5
361	0.05	0.992078408226	20	11	0.994021964658	35	26
362	0.01	0.994128702568	10	7	0.994695777576	16	11
363	0.005	0.999456361349	2	0	0.999379599081	8	4
364	0.05	0.955406098072	61	36	0.959369902749	97	72
365	0.01	0.999549556546	2	0	0.999420685235	7	5
366	0.005	0.999130178158	4	0	0.998939977238	13	8
367	0.05	0.983116136748	33	23	0.987049644399	62	43
368	0.01	0.999145710691	3	2	0.998282598781	11	8
369	0.005	0.999347633619	3	0	0.998993389238	6	4
370	0.05	0.994268495364	16	9	0.994880665267	24	16
371	0.01	0.999565089079	1	0	0.998894782469	6	2
372	0.005	0.99951849148	1	1	0.999646659079	4	2
373	0.05	0.990167906681	24	12	0.986725063786	45	24
374	0.01	0.998617604573	3	2	0.998763306778	10	7
375	0.005	0.999798077072	0	0	0.999445336927	5	3
376	0.05	0.923486742983	69	48	0.945655344692	105	76
377	0.01	0.99930103602	3	0	0.999149516621	10	6
378	0.005	0.997778847797	2	2	0.995669519415	13	6
379	0.05	0.810705021668	89	69	0.862805116048	121	97
380	0.01	0.99930103602	3	0	0.999170059698	9	6
381	0.005	0.998959320296	3	2	0.99907967016	7	6
382	0.05	0.988878706451	30	19	0.985697909947	60	42
383	0.01	0.998928255231	3	1	0.998504464011	12	6
384	0.005	0.998835060033	1	1	0.998656482779	7	6
385	0.05	0.99134837918	19	13	0.992871552358	37	25
386	0.01	0.999223373355	3	1	0.999050909853	9	4
387	0.005	0.999036982961	3	1	0.998323684935	12	10
388	0.05	0.998089498455	4	3	0.997711501247	15	10
389	0.01	0.998260356316	7	1	0.997994995706	11	7
390	0.005	0.99940976375	2	1	0.999207037236	6	4
391	0.05	0.997281806744	8	4	0.996063946489	15	11
392	0.01	0.999099113092	2	1	0.997403355095	11	7
393	0.005	0.996163464376	15	9	0.996659695716	26	15
394	0.05	0.999332101086	1	1	0.999400142158	4	4
395	0.01	0.999223373355	3	1	0.999075561545	11	6
396	0.005	0.999487426415	1	0	0.999453554158	6	3
397	0.05	0.0583091284696	33	33	0.0721431770279	33	33
398	0.01	0.999347633619	3	1	0.998660591394	12	5
399	0.005	0.999145710691	3	1	0.998882456623	11	5
400	0.05	0.997235209146	7	4	0.99653232864	23	13
401	0.01	0.999735946941	1	0	0.999630224618	5	2
402	0.005	0.998664202171	4	2	0.998755089547	13	9
403	0.05	0.976887591059	18	10	0.9858458201	29	21
404	0.01	0.999642751744	1	0	0.999317969851	6	6
405	0.005	0.999565089079	1	0	0.999515183388	8	3
406	0.05	0.998260356316	6	2	0.998389422781	12	6
407	0.01	0.998446746711	8	2	0.997653980632	14	7
408	0.005	0.999549556546	1	0	0.999313861236	10	5
409	0.05	0.975085817244	12	12	0.98341351981	36	24
410	0.01	0.999642751744	2	0	0.99918649416	9	3
411	0.005	0.9988195275	7	3	0.998483920934	9	7
412	0.05	0.976095431882	18	13	0.986063576714	28	19
413	0.01	0.999347633619	2	1	0.998759198163	8	6
414	0.005	0.999099113092	3	0	0.999215254467	10	6
415	0.05	0.996520712633	7	4	0.99624061695	37	20
416	0.01	0.999005917895	1	1	0.998681134471	12	9
417	0.005	0.999425296283	1	0	0.999178276929	8	3
418	0.05	0.998633137106	5	3	0.99728420525	16	10
419	0.01	0.999534024013	1	0	0.999223471698	6	5
420	0.005	0.998648669639	4	1	0.997592351402	11	9
421	0.05	0.996784765692	7	5	0.995985882798	14	9
422	0.01	0.999611686678	1	1	0.999289209543	8	5
423	0.005	0.988008884609	9	3	0.992600383745	18	11
424	0.05	0.961417188301	44	30	0.96463303902	86	59
425	0.01	0.99978254454	1	0	0.999786352002	5	1
426	0.005	0.999316568553	2	0	0.99884137047	13	7
427	0.05	0.982634628229	31	19	0.980619661368	49	39
428	0.01	0.998260356316	5	3	0.997526613556	11	9
429	0.005	0.999347633619	2	1	0.998792067085	11	7
430	0.05	0.973998539942	19	12	0.982386365971	34	27
431	0.01	0.98269675836	13	4	0.98960520315	25	14
432	0.005	0.998089498455	6	3	0.998192209244	13	9
433	0.05	0.998384616579	5	2	0.997645763401	13	7
434	0.01	0.998431214178	5	2	0.997555373863	16	7
435	0.005	0.996846895823	13	4	0.997317074173	19	12
436	0.05	0.97909321073	42	31	0.981930309666	69	46
437	0.01	0.998089498455	7	4	0.998471595088	17	11
438	0.005	0.998306953915	4	2	0.997189707097	16	10
439	0.05	0.996598375297	10	4	0.997444441249	24	14
440	0.01	0.999580621612	1	0	0.999330295697	9	3
441	0.005	0.999238905888	2	1	0.999498748927	6	4
442	0.05	0.94496823597	51	34	0.956337744617	77	54
443	0.01	0.999114645625	4	2	0.9989564117	9	5
444	0.005	0.999332101086	2	1	0.999170059698	8	3
445	0.05	0.996178996909	6	4	0.995870841568	21	13
446	0.01	0.999549556546	1	0	0.999112539083	8	5
447	0.005	0.999021450428	3	1	0.999055018468	11	7
448	0.05	0.967210823069	38	29	0.970775418976	57	44
449	0.01	0.999099113092	3	1	0.998677025856	8	3
450	0.005	0.999363166152	2	0	0.999367273235	14	5
451	0.05	0.986238175859	28	18	0.989284731153	49	30
452	0.01	0.995091719607	7	4	0.996902104022	16	10
453	0.005	0.998291421382	6	4	0.998479812318	12	8
454	0.05	0.997747782731	7	3	0.998512681241	20	7
455	0.01	0.998462279244	4	2	0.998730437855	7	7
456	0.005	0.999130178158	3	1	0.999272775082	10	5
457	0.05	0.988148677405	21	16	0.984851535184	37	26
458	0.01	0.999425296283	2	0	0.998537332933	8	7
459	0.005	0.998571006974	6	4	0.997986778476	14	8
460	0.05	0.991907550364	25	14	0.995225788957	29	23
461	0.01	0.999347633619	1	1	0.997617003094	15	8
462	0.005	0.999456361349	1	0	0.999576812618	3	3
463	0.05	0.984995573228	30	21	0.982304193664	55	37
464	0.01	0.999005917895	6	0	0.998989280623	13	5
465	0.005	0.999627219211	0	0	0.999433011081	6	4
466	0.05	0.955809943928	40	31	0.955253070163	58	43
467	0.01	0.999471893882	1	0	0.999157733852	9	6
468	0.005	0.999083580559	3	2	0.998027864629	11	8
469	0.05	0.998866125099	4	2	0.998479812318	13	8
470	0.01	0.998990385362	4	1	0.99901804093	12	5
471	0.005	0.997701185132	8	5	0.997666306478	16	7
472	0.05	0.978378714217	15	10	0.98612931456	26	19
473	0.01	0.986704151846	8	6	0.99173757452	21	16
474	0.005	0.999611686678	1	0	0.999350838774	9	4
475	0.05	0.989562137898	13	7	0.991170585601	34	22
476	0.01	0.998881657632	6	2	0.99745265848	12	9
477	0.005	0.999114645625	5	1	0.998968737546	10	5
478	0.05	0.976747798263	15	9	0.985632172102	31	21
479	0.01	0.998384616579	7	2	0.997559482479	18	12
480	0.005	0.99871079977	4	3	0.998759198163	10	7
481	0.05	0.998213758718	6	3	0.996602175101	16	13
482	0.01	0.999534024013	2	0	0.999313861236	8	3
483	0.005	0.998866125099	4	1	0.998249729859	11	8
484	0.05	0.0565694847859	33	33	0.0388223064945	33	33
485	0.01	0.999549556546	0	0	0.999519292003	5	2
486	0.005	0.997949705659	7	4	0.996922647099	14	10
487	0.05	0.99753032727	8	3	0.996446047717	12	8
488	0.01	0.997732250198	8	2	0.995953013875	12	8
489	0.005	0.993957844706	21	12	0.993007136665	36	20
490	0.05	0.995464500396	11	5	0.995833864029	25	18
491	0.01	0.999269970954	2	0	0.9989564117	9	6
492	0.005	0.999565089079	1	0	0.998249729859	7	4
493	0.05	0.994066572436	13	8	0.994868339421	31	20
494	0.01	0.999130178158	2	1	0.999231688929	11	4
