,,,,,,,,,,,,整型,,,,,
迭代,lr,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10,应用准确率,应用混淆>5,应用混淆>10,,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10
,,,,,,,,,,,,,,,,,
1944,0.005,0.995090805,23,10,0.994812134,18,10,0.994317785,33,25,,,,,,,
,,,,,,,,,,,,,,,,,
1945,0.05,0.979089313,34,24,0.97969898,32,21,0.982033025,50,34,,,,,,,
,,,,,,,,,,,,,,,,,
1946,0.01,0.993599403,25,14,0.992544384,28,17,0.994305459,40,28,,,,,,,
,,,,,,,,,,,,,,,,,
1947,0.005,0.991906042,20,15,0.991208586,21,16,0.993048223,34,22,,,,,,,
,,,,,,,,,,,,,,,,,
1948,0.05,0.369743199,87,76,0.375079604,89,76,0.496554926,99,91,,,,,,,
,,,,,,,,,,,,,,,,,
1949,0.01,0.016591838,33,33,0.016588745,33,33,0.008776002,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
1950,0.005,0.993226553,17,8,0.993740389,16,8,0.994790276,29,18,,,,,,,
,,,,,,,,,,,,,,,,,
1951,0.05,0.976137582,44,27,0.977710815,46,32,0.97356106,72,51,,,,,,,
,,,,,,,,,,,,,,,,,
1952,0.01,0.994982057,20,9,0.995231512,22,10,0.995973557,32,22,,,,,,,
,,,,,,,,,,,,,,,,,
1953,0.005,0.975795802,45,30,0.974619841,45,27,0.968491029,66,47,,,,,,,
,,,,,,,,,,,,,,,,,
1954,0.05,0.054607031,33,33,0.054596853,33,33,0.0780678,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
1955,0.01,0.992713884,20,16,0.992932698,23,17,0.992386736,37,23,,,,,,,
,,,,,,,,,,,,,,,,,
1956,0.005,0.99092731,22,16,0.990773676,27,14,0.992715425,47,26,,,,,,,
,,,,,,,,,,,,,,,,,
1957,0.05,0.876306918,86,64,0.877898759,80,61,0.901578119,116,83,,,,,,,
,,,,,,,,,,,,,,,,,
1958,0.01,0.976898818,23,17,0.978642767,23,17,0.982780793,42,29,,,,,,,
,,,,,,,,,,,,,,,,,
1959,0.005,0.983812084,24,18,0.985911993,18,12,0.988208274,28,19,,,,,,,
,,,,,,,,,,,,,,,,,
1960,0.05,0.810856158,138,112,0.811699104,141,112,0.835129483,168,137,,,,,,,
,,,,,,,,,,,,,,,,,
1961,0.01,0.976914353,32,17,0.976809928,31,19,0.98338476,50,35,,,,,,,
,,,,,,,,,,,,,,,,,
1962,0.005,0.990834097,23,14,0.992140538,25,12,0.991897811,45,31,,,,,,,
,,,,,,,,,,,,,,,,,
1963,0.05,0.895710668,76,59,0.896227148,82,60,0.900957718,98,80,,,,,,,
,,,,,,,,,,,,,,,,,
1964,0.01,0.994376175,16,9,0.993973377,19,12,0.99492586,27,18,,,,,,,
,,,,,,,,,,,,,,,,,
1965,0.005,0.980782675,22,14,0.982246315,21,12,0.985052857,32,26,,,,,,,
,,,,,,,,,,,,,,,,,
1966,0.05,0.907237956,99,74,0.904273,105,75,0.900801591,131,105,,,,,,,
,,,,,,,,,,,,,,,,,
1967,0.01,0.921903401,53,37,0.92316056,53,38,0.946546914,87,61,,,,,,,
,,,,,,,,,,,,,,,,,
1968,0.005,0.967934876,28,22,0.966558457,32,22,0.969390816,56,35,,,,,,,
,,,,,,,,,,,,,,,,,
1969,0.05,0.971834268,39,26,0.971715258,38,26,0.967854194,68,44,,,,,,,
,,,,,,,,,,,,,,,,,
1970,0.01,0.961301248,53,29,0.960656094,49,32,0.965269874,83,57,,,,,,,
,,,,,,,,,,,,,,,,,
1971,0.005,0.982149793,55,33,0.982044392,53,31,0.984670756,75,56,,,,,,,
,,,,,,,,,,,,,,,,,
1972,0.05,0.218630086,278,229,0.223140368,274,228,0.206733199,338,281,,,,,,,
,,,,,,,,,,,,,,,,,
1973,0.01,0.980922494,27,14,0.981438623,21,16,0.983134134,53,33,,,,,,,
,,,,,,,,,,,,,,,,,
1974,0.005,0.992713884,25,12,0.992917165,18,11,0.994831362,40,25,,,,,,,
,,,,,,,,,,,,,,,,,
1975,0.05,0.924668707,87,62,0.924278902,83,57,0.926874864,116,91,,,,,,,
,,,,,,,,,,,,,,,,,
1976,0.01,0.958768973,61,43,0.959227101,66,39,0.966042294,100,72,,,,,,,
,,,,,,,,,,,,,,,,,
1977,0.005,0.991517656,24,11,0.992031811,18,12,0.993537148,40,25,,,,,,,
,,,,,,,,,,,,,,,,,
1978,0.05,0.9068185,99,66,0.904226402,101,72,0.919388967,136,104,,,,,,,
,,,,,,,,,,,,,,,,,
1979,0.01,0.994500458,15,9,0.994423821,15,8,0.994839579,26,12,,,,,,,
,,,,,,,,,,,,,,,,,
1980,0.005,0.914446395,82,65,0.914322549,87,62,0.923933095,133,99,,,,,,,
,,,,,,,,,,,,,,,,,
1981,0.05,0.813279684,131,92,0.815116261,123,91,0.81590938,186,143,,,,,,,
,,,,,,,,,,,,,,,,,
1982,0.01,0.994640277,23,7,0.994625744,21,11,0.994942295,35,25,,,,,,,
,,,,,,,,,,,,,,,,,
1983,0.005,0.980953565,34,21,0.980537736,31,20,0.983512127,50,41,,,,,,,
,,,,,,,,,,,,,,,,,
1984,0.05,0.98620454,30,15,0.986409034,25,16,0.983939423,42,28,,,,,,,
,,,,,,,,,,,,,,,,,
1985,0.01,0.994966521,18,8,0.995697488,14,11,0.995731149,29,18,,,,,,,
,,,,,,,,,,,,,,,,,
1986,0.005,0.985132595,29,18,0.983302527,32,20,0.982928703,50,36,,,,,,,
,,,,,,,,,,,,,,,,,
1987,0.05,0.986686138,21,15,0.986704152,23,15,0.988216491,34,25,,,,,,,
,,,,,,,,,,,,,,,,,
1988,0.01,0.894172661,76,55,0.893477889,77,57,0.902773726,103,85,,,,,,,
,,,,,,,,,,,,,,,,,
1989,0.005,0.980130187,47,26,0.980910517,44,25,0.977579286,75,55,,,,,,,
,,,,,,,,,,,,,,,,,
1990,0.05,0.970389473,53,34,0.968018515,54,31,0.93866659,106,78,,,,,,,
,,,,,,,,,,,,,,,,,
1991,0.01,0.912116081,65,51,0.913996365,66,54,0.922659425,92,75,,,,,,,
,,,,,,,,,,,,,,,,,
1992,0.005,0.996380245,14,5,0.996582843,13,7,0.996507677,28,15,,,,,,,
,,,,,,,,,,,,,,,,,
1993,0.05,0.91371623,81,64,0.910765599,76,62,0.923246957,121,87,,,,,,,
,,,,,,,,,,,,,,,,,
1994,0.01,0.992589601,16,14,0.992684177,18,11,0.994083594,29,18,,,,,,,
,,,,,,,,,,,,,,,,,
1995,0.005,0.991331231,31,16,0.991581367,26,15,0.992871552,43,25,,,,,,,
,,,,,,,,,,,,,,,,,
1996,0.05,0.982507108,37,19,0.982976344,35,22,0.986988015,63,41,,,,,,,
,,,,,,,,,,,,,,,,,
1997,0.01,0.994531529,19,11,0.994190833,20,10,0.993693275,33,20,,,,,,,
,,,,,,,,,,,,,,,,,
1998,0.005,0.963988877,48,33,0.964663488,51,37,0.965035683,74,56,,,,,,,
,,,,,,,,,,,,,,,,,
1999,0.05,0.055259519,32,32,0.05524922,32,32,0.080430254,32,32,,,,,,,
,,,,,,,,,,,,,,,,,
2000,0.01,0.922478212,70,55,0.922446063,68,55,0.926961145,87,71,,,,,,,
,,,,,,,,,,,,,,,,,
2001,0.005,0.99221675,19,11,0.992389059,20,10,0.995854407,25,17,,,,,,,
,,,,,,,,,,,,,,,,,
2002,0.05,0.98569187,38,25,0.984250012,41,31,0.986001948,62,45,,,,,,,
,,,,,,,,,,,,,,,,,
2003,0.01,0.939567183,57,36,0.939811435,56,36,0.955364003,85,70,,,,,,,
,,,,,,,,,,,,,,,,,
2004,0.005,0.990725349,30,18,0.99068048,30,18,0.99184029,43,29,,,,,,,
,,,,,,,,,,,,,,,,,
2005,0.05,0.835262316,95,75,0.831456486,100,78,0.866556282,129,107,,,,,,,
,,,,,,,,,,,,,,,,,
2006,0.01,0.986390965,25,13,0.986719684,19,11,0.989514814,41,25,,,,,,,
,,,,,,,,,,,,,,,,,
2007,0.005,0.97679007,43,25,0.975054752,45,28,0.983491584,68,45,,,,,,,
,,,,,,,,,,,,,,,,,
2008,0.05,0.771567059,90,75,0.772945434,94,79,0.797280918,117,97,,,,,,,
,,,,,,,,,,,,,,,,,
2009,0.01,0.981357486,23,14,0.981314363,22,10,0.989334035,35,23,,,,,,,
,,,,,,,,,,,,,,,,,
2010,0.005,0.993024593,25,13,0.992870567,26,16,0.99344265,46,27,,,,,,,
,,,,,,,,,,,,,,,,,
2011,0.05,0.997623079,13,4,0.997872043,9,3,0.998003213,26,13,,,,,,,
,,,,,,,,,,,,,,,,,
2012,0.01,0.988348429,21,11,0.988940837,19,13,0.991030893,31,19,,,,,,,
,,,,,,,,,,,,,,,,,
2013,0.005,0.986701673,32,15,0.986983737,23,16,0.990591271,37,28,,,,,,,
,,,,,,,,,,,,,,,,,
2014,0.05,0.915487269,92,61,0.915301098,87,58,0.925301264,129,95,,,,,,,
,,,,,,,,,,,,,,,,,
2015,0.01,0.983827619,29,16,0.983830633,32,21,0.986359397,51,34,,,,,,,
,,,,,,,,,,,,,,,,,
2016,0.005,0.991175877,19,10,0.992156071,14,9,0.99053375,28,20,,,,,,,
,,,,,,,,,,,,,,,,,
2017,0.05,0.988892169,21,15,0.99061835,25,14,0.989087518,51,30,,,,,,,
,,,,,,,,,,,,,,,,,
2018,0.01,0.986468642,32,22,0.986766282,34,25,0.987752218,62,38,,,,,,,
,,,,,,,,,,,,,,,,,
2019,0.005,0.972968354,29,20,0.973827682,28,22,0.984650213,44,30,,,,,,,
,,,,,,,,,,,,,,,,,
2020,0.05,0.892836614,75,52,0.891349932,76,56,0.915781602,110,86,,,,,,,
,,,,,,,,,,,,,,,,,
2021,0.01,0.981031242,31,24,0.979574719,32,26,0.97928847,49,34,,,,,,,
,,,,,,,,,,,,,,,,,
2022,0.005,0.990228215,23,12,0.989997049,24,17,0.991860833,38,26,,,,,,,
,,,,,,,,,,,,,,,,,
2023,0.05,0.978188258,30,18,0.976949721,36,21,0.977698436,51,30,,,,,,,
,,,,,,,,,,,,,,,,,
2024,0.01,0.996799702,13,5,0.997514795,11,5,0.996569306,25,14,,,,,,,
,,,,,,,,,,,,,,,,,
2025,0.005,0.9864065,17,11,0.987263323,15,10,0.9850734,39,26,,,,,,,
,,,,,,,,,,,,,,,,,
2026,0.05,0.871739502,115,82,0.870598469,111,83,0.889149558,150,121,,,,,,,
,,,,,,,,,,,,,,,,,
2027,0.01,0.994360639,25,15,0.993181218,21,10,0.993602886,36,26,,,,,,,
,,,,,,,,,,,,,,,,,
2028,0.005,0.993537262,18,9,0.99282397,16,12,0.990866548,33,21,,,,,,,
,,,,,,,,,,,,,,,,,
2029,0.05,0.662865665,165,118,0.662245072,165,112,0.691237556,220,170,,,,,,,
,,,,,,,,,,,,,,,,,
2030,0.01,0.917848654,56,43,0.919960858,64,45,0.915880209,93,70,,,,,,,
,,,,,,,,,,,,,,,,,
2031,0.005,0.971694449,41,25,0.973672357,40,29,0.976749346,55,39,,,,,,,
,,,,,,,,,,,,,,,,,
2032,0.05,0.994982057,20,8,0.995045122,16,9,0.994810819,34,24,,,,,,,
,,,,,,,,,,,,,,,,,
2033,0.01,0.933166586,81,58,0.933147978,81,54,0.952746815,112,85,,,,,,,
,,,,,,,,,,,,,,,,,
2034,0.005,0.94705526,75,46,0.948028145,69,42,0.965882058,97,67,,,,,,,
,,,,,,,,,,,,,,,,,
2035,0.05,0.871661825,93,72,0.870505273,94,74,0.883730294,123,96,,,,,,,
,,,,,,,,,,,,,,,,,
2036,0.01,0.991082664,23,15,0.989717463,22,13,0.988841001,45,29,,,,,,,
,,,,,,,,,,,,,,,,,
2037,0.005,0.991206947,20,14,0.991814355,19,13,0.992600384,37,23,,,,,,,
,,,,,,,,,,,,,,,,,
2038,0.05,0.869347046,114,89,0.869821842,116,79,0.895111159,165,133,,,,,,,
,,,,,,,,,,,,,,,,,
2039,0.01,0.995059734,11,8,0.994827667,16,6,0.995989991,29,14,,,,,,,
,,,,,,,,,,,,,,,,,
2040,0.005,0.990803026,17,10,0.989826191,18,11,0.98916969,29,20,,,,,,,
,,,,,,,,,,,,,,,,,
2041,0.05,0.871428793,88,65,0.873937963,92,62,0.864814229,142,98,,,,,,,
,,,,,,,,,,,,,,,,,
2042,0.01,0.991253554,17,11,0.991954148,16,10,0.993668624,36,23,,,,,,,
,,,,,,,,,,,,,,,,,
2043,0.005,0.818064596,130,97,0.820179867,126,95,0.838301334,171,131,,,,,,,
,,,,,,,,,,,,,,,,,
2044,0.05,0.913700694,67,41,0.913670182,73,41,0.912219433,98,71,,,,,,,
,,,,,,,,,,,,,,,,,
2045,0.01,0.997234694,8,5,0.996924559,13,4,0.996848692,24,13,,,,,,,
,,,,,,,,,,,,,,,,,
2046,0.005,0.989886436,31,13,0.991224119,25,16,0.98934636,46,26,,,,,,,
,,,,,,,,,,,,,,,,,
2047,0.05,0.018223058,33,33,0.018219661,33,33,0.009638812,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
2048,0.01,0.967018285,41,32,0.967707864,40,26,0.974345806,63,45,,,,,,,
,,,,,,,,,,,,,,,,,
2049,0.005,0.983268344,27,22,0.983985959,33,23,0.983635385,42,36,,,,,,,
,,,,,,,,,,,,,,,,,
2050,0.05,0.974832606,52,40,0.975427533,57,34,0.979650028,95,67,,,,,,,
,,,,,,,,,,,,,,,,,
2051,0.01,0.959126288,41,27,0.957005949,43,25,0.965130182,61,45,,,,,,,
,,,,,,,,,,,,,,,,,
2052,0.005,0.983812084,26,18,0.983954894,23,15,0.987744,34,26,,,,,,,
,,,,,,,,,,,,,,,,,
2053,0.05,0.058319999,33,33,0.058309129,33,33,0.072143177,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
2054,0.01,0.986763815,22,11,0.988428263,19,11,0.991569121,33,22,,,,,,,
,,,,,,,,,,,,,,,,,
2055,0.005,0.984511178,28,17,0.984638325,25,20,0.987333139,41,31,,,,,,,
,,,,,,,,,,,,,,,,,
2056,0.05,0.81564107,84,65,0.812662121,84,68,0.818115707,109,91,,,,,,,
,,,,,,,,,,,,,,,,,
2057,0.01,0.985831689,16,10,0.984809183,19,11,0.981589295,39,22,,,,,,,
,,,,,,,,,,,,,,,,,
2058,0.005,0.991579798,21,14,0.991690095,20,11,0.992604492,43,26,,,,,,,
,,,,,,,,,,,,,,,,,
2059,0.05,0.986126862,33,16,0.986362436,33,17,0.98997087,58,43,,,,,,,
,,,,,,,,,,,,,,,,,
2060,0.01,0.893287141,100,77,0.891784843,100,75,0.906635825,127,107,,,,,,,
,,,,,,,,,,,,,,,,,
2061,0.005,0.99418975,22,8,0.993786987,21,10,0.993845294,42,26,,,,,,,
,,,,,,,,,,,,,,,,,
2062,0.05,0.992341034,24,13,0.993134621,22,11,0.991080196,38,28,,,,,,,
,,,,,,,,,,,,,,,,,
2063,0.01,0.977970762,28,18,0.980258151,24,18,0.982028916,40,29,,,,,,,
,,,,,,,,,,,,,,,,,
2064,0.005,0.989202877,13,8,0.990851338,13,8,0.993101635,24,14,,,,,,,
,,,,,,,,,,,,,,,,,
2065,0.05,0.979291274,37,21,0.98007176,34,24,0.974773102,54,37,,,,,,,
,,,,,,,,,,,,,,,,,
2066,0.01,0.985722941,39,18,0.986269241,39,22,0.990229713,52,39,,,,,,,
,,,,,,,,,,,,,,,,,
2067,0.005,0.976588109,43,36,0.975551793,42,34,0.975759169,59,50,,,,,,,
,,,,,,,,,,,,,,,,,
2068,0.05,0.019761065,33,33,0.019757382,33,33,0.010452318,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
2069,0.01,0.983827619,20,15,0.983193799,22,17,0.989214885,34,19,,,,,,,
,,,,,,,,,,,,,,,,,
2070,0.005,0.988783421,22,11,0.989934919,22,11,0.990952829,40,25,,,,,,,
,,,,,,,,,,,,,,,,,
2071,0.05,0.053705977,33,33,0.053711499,33,33,0.102025137,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
2072,0.01,0.956609548,65,40,0.956835091,64,40,0.9641852,93,64,,,,,,,
,,,,,,,,,,,,,,,,,
2073,0.005,0.993723687,15,8,0.993693792,18,10,0.993837077,30,21,,,,,,,
,,,,,,,,,,,,,,,,,
2074,0.05,0.908962389,43,34,0.910687936,46,31,0.902498449,60,53,,,,,,,
,,,,,,,,,,,,,,,,,
2075,0.01,0.99255853,19,11,0.991705627,21,10,0.9919882,40,26,,,,,,,
,,,,,,,,,,,,,,,,,
2076,0.005,0.984495642,21,12,0.986440099,15,9,0.984995337,41,24,,,,,,,
,,,,,,,,,,,,,,,,,
2077,0.05,0.805061443,128,96,0.802426182,128,89,0.833325801,169,135,,,,,,,
,,,,,,,,,,,,,,,,,
2078,0.01,0.98457332,19,8,0.985244094,22,8,0.988824566,39,23,,,,,,,
,,,,,,,,,,,,,,,,,
2079,0.005,0.99690845,11,4,0.99754586,8,4,0.997391029,23,13,,,,,,,
,,,,,,,,,,,,,,,,,
2080,0.05,0.875902997,116,82,0.876252311,105,83,0.890599899,160,113,,,,,,,
,,,,,,,,,,,,,,,,,
2081,0.01,0.990989451,24,13,0.989546605,27,14,0.990283125,43,33,,,,,,,
,,,,,,,,,,,,,,,,,
2082,0.005,0.993816899,21,8,0.994128703,20,11,0.99557913,29,21,,,,,,,
,,,,,,,,,,,,,,,,,
2083,0.05,0.971399276,43,34,0.970814371,39,32,0.964255046,56,44,,,,,,,
,,,,,,,,,,,,,,,,,
2084,0.01,0.997001662,9,5,0.996598375,10,4,0.997234902,19,13,,,,,,,
,,,,,,,,,,,,,,,,,
2085,0.005,0.988022185,30,16,0.98681288,28,20,0.990003739,46,27,,,,,,,
,,,,,,,,,,,,,,,,,
2086,0.05,0.891329677,89,71,0.888383219,95,70,0.905678517,132,101,,,,,,,
,,,,,,,,,,,,,,,,,
2087,0.01,0.978234865,39,23,0.978114661,35,25,0.981096261,56,43,,,,,,,
,,,,,,,,,,,,,,,,,
2088,0.005,0.990507853,24,14,0.990571753,26,13,0.989099844,30,26,,,,,,,
,,,,,,,,,,,,,,,,,
2089,0.05,0.850052044,89,63,0.851959429,86,67,0.852845832,123,95,,,,,,,
,,,,,,,,,,,,,,,,,
2090,0.01,0.994578135,20,13,0.993802519,21,12,0.993331717,37,23,,,,,,,
,,,,,,,,,,,,,,,,,
2091,0.005,0.987882366,30,17,0.987993352,22,16,0.989592877,42,28,,,,,,,
,,,,,,,,,,,,,,,,,
2092,0.05,0.853796082,121,87,0.850732359,115,86,0.880915893,152,117,,,,,,,
,,,,,,,,,,,,,,,,,
2093,0.01,0.995572403,16,7,0.994377223,15,10,0.995049119,28,20,,,,,,,
,,,,,,,,,,,,,,,,,
2094,0.005,0.993024593,15,6,0.993088023,13,7,0.993298848,25,18,,,,,,,
,,,,,,,,,,,,,,,,,
2095,0.05,0.949105936,57,35,0.949146487,56,41,0.936743758,77,58,,,,,,,
,,,,,,,,,,,,,,,,,
2096,0.01,0.971026426,43,28,0.972755937,42,29,0.978244882,59,46,,,,,,,
,,,,,,,,,,,,,,,,,
2097,0.005,0.975609377,40,23,0.976048834,38,23,0.980249886,58,40,,,,,,,
,,,,,,,,,,,,,,,,,
2098,0.05,0.996147214,17,4,0.996101334,16,5,0.995998209,26,17,,,,,,,
,,,,,,,,,,,,,,,,,
2099,0.01,0.983377092,30,14,0.985088768,25,19,0.989510705,48,38,,,,,,,
,,,,,,,,,,,,,,,,,
2100,0.005,0.995494726,21,10,0.995511098,12,9,0.997189707,25,14,,,,,,,
,,,,,,,,,,,,,,,,,
2101,0.05,0.9918439,24,14,0.991146456,25,13,0.990517316,43,30,,,,,,,
,,,,,,,,,,,,,,,,,
2102,0.01,0.994096537,23,12,0.993491869,19,15,0.990677552,29,23,,,,,,,
,,,,,,,,,,,,,,,,,
2103,0.005,0.975127779,42,32,0.976406083,44,29,0.979740418,70,46,,,,,,,
,,,,,,,,,,,,,,,,,
2104,0.05,0.907300098,76,57,0.912846958,74,52,0.91593773,103,77,,,,,,,
,,,,,,,,,,,,,,,,,
2105,0.01,0.995634545,12,4,0.99631879,8,4,0.996178988,29,14,,,,,,,
,,,,,,,,,,,,,,,,,
2106,0.005,0.992729419,19,10,0.993289946,17,9,0.993335826,39,26,,,,,,,
,,,,,,,,,,,,,,,,,
2107,0.05,0.995013127,18,9,0.994532548,21,8,0.993849403,36,25,,,,,,,
,,,,,,,,,,,,,,,,,
2108,0.01,0.915533875,63,45,0.915751542,66,40,0.914462737,87,57,,,,,,,
,,,,,,,,,,,,,,,,,
2109,0.005,0.972005158,39,26,0.972398689,42,28,0.978146275,62,46,,,,,,,
,,,,,,,,,,,,,,,,,
2110,0.05,0.908869176,80,65,0.912147994,78,65,0.919984716,108,87,,,,,,,
,,,,,,,,,,,,,,,,,
2111,0.01,0.990942845,16,9,0.991643497,14,9,0.989580552,31,18,,,,,,,
,,,,,,,,,,,,,,,,,
2112,0.005,0.979462164,26,18,0.980553269,30,20,0.984826884,46,34,,,,,,,
,,,,,,,,,,,,,,,,,
2113,0.05,0.995354907,18,10,0.994718939,15,10,0.992382627,36,20,,,,,,,
,,,,,,,,,,,,,,,,,
2114,0.01,0.970389473,42,28,0.973594694,42,27,0.963597668,62,43,,,,,,,
,,,,,,,,,,,,,,,,,
2115,0.005,0.969768056,40,21,0.971156086,36,21,0.980985328,47,33,,,,,,,
,,,,,,,,,,,,,,,,,
2116,0.05,0.878155634,109,69,0.877339588,106,81,0.894219589,168,120,,,,,,,
,,,,,,,,,,,,,,,,,
2117,0.01,0.983237273,30,15,0.983131669,23,17,0.98919845,41,29,,,,,,,
,,,,,,,,,,,,,,,,,
2118,0.005,0.951420715,57,42,0.952858763,60,42,0.963872945,84,62,,,,,,,
,,,,,,,,,,,,,,,,,
2119,0.05,0.959064146,56,36,0.961696774,55,36,0.961190019,91,61,,,,,,,
,,,,,,,,,,,,,,,,,
2120,0.01,0.990647672,26,13,0.989701931,26,17,0.987887802,43,29,,,,,,,
,,,,,,,,,,,,,,,,,
2121,0.005,0.995323836,19,5,0.995169382,19,11,0.99495462,35,24,,,,,,,
,,,,,,,,,,,,,,,,,
2122,0.05,0.988488247,26,13,0.988754446,25,14,0.989161473,40,29,,,,,,,
,,,,,,,,,,,,,,,,,
2123,0.01,0.954077273,67,42,0.955064382,59,38,0.965853298,94,67,,,,,,,
,,,,,,,,,,,,,,,,,
2124,0.005,0.995121875,22,11,0.993833584,19,12,0.993980879,34,21,,,,,,,
,,,,,,,,,,,,,,,,,
2125,0.05,0.650297504,145,114,0.651077181,161,115,0.65929718,205,169,,,,,,,
,,,,,,,,,,,,,,,,,
2126,0.01,0.992232286,27,12,0.991938615,27,15,0.988360293,44,30,,,,,,,
,,,,,,,,,,,,,,,,,
2127,0.005,0.996488993,9,2,0.996691571,7,3,0.996417287,26,14,,,,,,,
,,,,,,,,,,,,,,,,,
2128,0.05,0.995463655,17,7,0.995448968,15,12,0.993454976,33,22,,,,,,,
,,,,,,,,,,,,,,,,,
2129,0.01,0.993910112,17,11,0.993693792,20,7,0.991914245,42,25,,,,,,,
,,,,,,,,,,,,,,,,,
2130,0.005,0.985707406,33,16,0.985306224,33,24,0.987140034,47,34,,,,,,,
,,,,,,,,,,,,,,,,,
2131,0.05,0.979835014,48,34,0.977353567,48,27,0.972858487,79,54,,,,,,,
,,,,,,,,,,,,,,,,,
2132,0.01,0.955568674,34,21,0.958916451,36,22,0.96391814,52,35,,,,,,,
,,,,,,,,,,,,,,,,,
2133,0.005,0.986484177,30,20,0.984980041,29,21,0.987103056,47,35,,,,,,,
,,,,,,,,,,,,,,,,,
2134,0.05,0.271062157,78,67,0.274599649,79,70,0.245272011,89,79,,,,,,,
,,,,,,,,,,,,,,,,,
2135,0.01,0.993754758,18,7,0.99423743,17,6,0.994514999,30,20,,,,,,,
,,,,,,,,,,,,,,,,,
2136,0.005,0.990694278,18,11,0.990183439,21,13,0.98851642,35,22,,,,,,,
,,,,,,,,,,,,,,,,,
2137,0.05,0.833009679,119,96,0.829204268,115,94,0.86036049,157,124,,,,,,,
,,,,,,,,,,,,,,,,,
2138,0.01,0.994515994,21,12,0.994532548,25,15,0.994350654,34,26,,,,,,,
,,,,,,,,,,,,,,,,,
2139,0.005,0.79100188,171,137,0.789627375,166,130,0.827232724,211,173,,,,,,,
,,,,,,,,,,,,,,,,,
2140,0.05,0.956205627,64,46,0.956586571,63,46,0.94961605,107,76,,,,,,,
,,,,,,,,,,,,,,,,,
2141,0.01,0.988255216,20,10,0.987170128,22,10,0.987817956,40,29,,,,,,,
,,,,,,,,,,,,,,,,,
2142,0.005,0.959266106,40,31,0.958170889,39,29,0.964813818,58,41,,,,,,,
,,,,,,,,,,,,,,,,,
2143,0.05,0.907237956,56,40,0.908559979,59,45,0.913661557,84,61,,,,,,,
,,,,,,,,,,,,,,,,,
2144,0.01,0.985396697,15,11,0.985166431,17,10,0.990242039,30,19,,,,,,,
,,,,,,,,,,,,,,,,,
2145,0.005,0.975298669,41,23,0.97528774,40,26,0.980422448,70,45,,,,,,,
,,,,,,,,,,,,,,,,,
2146,0.05,0.965589026,45,29,0.961991892,52,34,0.961933679,76,52,,,,,,,
,,,,,,,,,,,,,,,,,
2147,0.01,0.985194737,25,17,0.985228561,23,18,0.988027495,37,25,,,,,,,
,,,,,,,,,,,,,,,,,
2148,0.005,0.952570337,65,46,0.950233765,72,48,0.95433274,101,73,,,,,,,
,,,,,,,,,,,,,,,,,
2149,0.05,0.99221675,27,15,0.992451189,25,13,0.99305644,36,29,,,,,,,
,,,,,,,,,,,,,,,,,
2150,0.01,0.905109602,80,55,0.908295926,78,60,0.92338665,103,82,,,,,,,
,,,,,,,,,,,,,,,,,
2151,0.005,0.733241157,160,117,0.729267952,155,120,0.741025757,204,162,,,,,,,
,,,,,,,,,,,,,,,,,
2152,0.05,0.933088909,61,45,0.933303304,58,41,0.923690687,116,76,,,,,,,
,,,,,,,,,,,,,,,,,
2153,0.01,0.985800618,35,23,0.98595859,41,20,0.988121993,58,41,,,,,,,
,,,,,,,,,,,,,,,,,
2154,0.005,0.992682813,23,13,0.993227816,22,13,0.992748294,41,27,,,,,,,
,,,,,,,,,,,,,,,,,
2155,0.05,0.070965838,108,99,0.069880866,110,105,0.083819862,118,110,,,,,,,
,,,,,,,,,,,,,,,,,
2156,0.01,0.963926735,26,17,0.965890558,25,17,0.974444413,42,29,,,,,,,
,,,,,,,,,,,,,,,,,
2157,0.005,0.990305893,13,7,0.990447492,12,9,0.99059538,23,13,,,,,,,
,,,,,,,,,,,,,,,,,
2158,0.05,0.908915782,58,48,0.908311458,64,49,0.925280721,80,72,,,,,,,
,,,,,,,,,,,,,,,,,
2159,0.01,0.972673181,42,29,0.971994843,41,29,0.976165922,58,47,,,,,,,
,,,,,,,,,,,,,,,,,
2160,0.005,0.991564262,23,12,0.992264799,18,10,0.99522168,38,25,,,,,,,
,,,,,,,,,,,,,,,,,
2161,0.05,0.058319999,33,33,0.058309129,33,33,0.072143177,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
2162,0.01,0.974351008,48,30,0.973656824,47,33,0.970804179,68,49,,,,,,,
,,,,,,,,,,,,,,,,,
2163,0.005,0.958380587,46,28,0.960360976,40,29,0.968922434,62,48,,,,,,,
,,,,,,,,,,,,,,,,,
2164,0.05,0.929981824,44,29,0.93021233,49,31,0.914265523,74,52,,,,,,,
,,,,,,,,,,,,,,,,,
2165,0.01,0.994904379,17,9,0.995480033,18,8,0.996450156,24,18,,,,,,,
,,,,,,,,,,,,,,,,,
2166,0.005,0.981978903,27,20,0.981966729,29,22,0.984798123,47,30,,,,,,,
,,,,,,,,,,,,,,,,,
