,,,,,,,,,,,,整型,,,,,
迭代,lr,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10,应用准确率,应用混淆>5,应用混淆>10,,验证准确率,验证混淆>5,验证混淆>10,测试准确率,测试混淆>5,测试混淆>10
136,0.05,0.883173577,58,42,0.888709402,65,47,0.87558291,92,77,,,,,,,
,,,,,,,,,,,,,,,,,
137,0.01,0.988472712,23,15,0.988599121,21,15,0.989083409,33,22,,,,,,,
,,,,,,,,,,,,,,,,,
138,0.005,0.964967609,49,30,0.964306239,47,29,0.962447256,76,53,,,,,,,
,,,,,,,,,,,,,,,,,
139,0.05,0.986453106,31,18,0.986735217,29,14,0.989720244,47,29,,,,,,,
,,,,,,,,,,,,,,,,,
140,0.01,0.985085989,25,16,0.985135366,26,20,0.989699701,34,23,,,,,,,
,,,,,,,,,,,,,,,,,
141,0.005,0.988177539,25,18,0.988195275,25,17,0.986416918,42,28,,,,,,,
,,,,,,,,,,,,,,,,,
142,0.05,0.848871351,110,79,0.844674671,113,85,0.867534132,146,117,,,,,,,
,,,,,,,,,,,,,,,,,
143,0.01,0.980938029,19,13,0.981578416,21,12,0.984613236,46,23,,,,,,,
,,,,,,,,,,,,,,,,,
144,0.005,0.993925647,17,10,0.993818052,19,11,0.990804919,35,23,,,,,,,
,,,,,,,,,,,,,,,,,
145,0.05,0.991874971,24,12,0.991053261,23,15,0.990180409,49,35,,,,,,,
,,,,,,,,,,,,,,,,,
146,0.01,0.970140906,47,34,0.966496327,49,35,0.967237901,62,50,,,,,,,
,,,,,,,,,,,,,,,,,
147,0.005,0.983579052,27,17,0.984110219,26,16,0.986236139,37,29,,,,,,,
,,,,,,,,,,,,,,,,,
148,0.05,0.983610123,32,23,0.983411255,31,20,0.985167899,51,37,,,,,,,
,,,,,,,,,,,,,,,,,
149,0.01,0.909552735,85,66,0.905888383,82,62,0.913879314,124,91,,,,,,,
,,,,,,,,,,,,,,,,,
150,0.005,0.963429601,54,35,0.962644258,53,39,0.972114828,74,51,,,,,,,
,,,,,,,,,,,,,,,,,
151,0.05,0.409684786,194,163,0.414967149,195,167,0.450780842,222,193,,,,,,,
,,,,,,,,,,,,,,,,,
152,0.01,0.97209837,36,17,0.97528774,34,20,0.980200583,60,45,,,,,,,
,,,,,,,,,,,,,,,,,
153,0.005,0.989373767,21,16,0.989437878,26,17,0.985985513,33,25,,,,,,,
,,,,,,,,,,,,,,,,,
154,0.05,0.944802622,55,34,0.947204921,57,38,0.964115354,84,62,,,,,,,
,,,,,,,,,,,,,,,,,
155,0.01,0.989171806,17,8,0.989624268,19,5,0.990878874,31,15,,,,,,,
,,,,,,,,,,,,,,,,,
156,0.005,0.976324007,28,23,0.976980786,29,21,0.977394398,44,35,,,,,,,
,,,,,,,,,,,,,,,,,
157,0.05,0.020025167,33,33,0.020130163,33,33,0.010600228,36,33,,,,,,,
,,,,,,,,,,,,,,,,,
158,0.01,0.99636471,16,8,0.996458583,11,7,0.994757407,33,21,,,,,,,
,,,,,,,,,,,,,,,,,
159,0.005,0.949168078,67,43,0.949969712,66,47,0.961481731,96,69,,,,,,,
,,,,,,,,,,,,,,,,,
160,0.05,0.920132362,75,57,0.920364704,80,56,0.917318225,122,90,,,,,,,
,,,,,,,,,,,,,,,,,
161,0.01,0.994515994,11,7,0.995433435,11,8,0.994712212,25,19,,,,,,,
,,,,,,,,,,,,,,,,,
162,0.005,0.965495813,46,26,0.96590609,41,26,0.971293105,70,50,,,,,,,
,,,,,,,,,,,,,,,,,
163,0.05,0.053705977,34,34,0.053711499,34,34,0.102025137,34,34,,,,,,,
,,,,,,,,,,,,,,,,,
164,0.01,0.988938775,18,12,0.98939128,22,13,0.991758118,34,25,,,,,,,
,,,,,,,,,,,,,,,,,
165,0.005,0.991937113,16,10,0.991892018,13,10,0.991560904,29,20,,,,,,,
,,,,,,,,,,,,,,,,,
166,0.05,0.984992776,29,21,0.983784036,25,19,0.986096446,40,29,,,,,,,
,,,,,,,,,,,,,,,,,
167,0.01,0.972253725,44,26,0.973470434,49,29,0.952188043,81,51,,,,,,,
,,,,,,,,,,,,,,,,,
168,0.005,0.988767885,23,12,0.987667169,23,12,0.978840631,37,28,,,,,,,
,,,,,,,,,,,,,,,,,
169,0.05,0.968074694,33,23,0.968608751,31,25,0.977797043,60,38,,,,,,,
,,,,,,,,,,,,,,,,,
170,0.01,0.994593671,15,8,0.99423743,13,9,0.995369591,29,21,,,,,,,
,,,,,,,,,,,,,,,,,
171,0.005,0.980192329,35,19,0.979792175,36,20,0.986811345,61,40,,,,,,,
,,,,,,,,,,,,,,,,,
172,0.05,0.902095729,94,68,0.902098445,90,72,0.910855373,118,101,,,,,,,
,,,,,,,,,,,,,,,,,
173,0.01,0.919604157,44,29,0.922787779,43,28,0.927922561,67,45,,,,,,,
,,,,,,,,,,,,,,,,,
174,0.005,0.942938371,62,46,0.942374303,64,46,0.955791299,82,64,,,,,,,
,,,,,,,,,,,,,,,,,
175,0.05,0.905171744,95,66,0.903527438,99,61,0.921673357,130,100,,,,,,,
,,,,,,,,,,,,,,,,,
176,0.01,0.971787662,31,16,0.97173079,33,16,0.978943346,48,32,,,,,,,
,,,,,,,,,,,,,,,,,
177,0.005,0.984247076,17,12,0.983737438,20,13,0.989038214,32,26,,,,,,,
,,,,,,,,,,,,,,,,,
178,0.05,0.937128121,77,49,0.935679781,70,48,0.932676229,122,89,,,,,,,
,,,,,,,,,,,,,,,,,
179,0.01,0.968369868,52,26,0.968515556,49,34,0.973014614,75,55,,,,,,,
,,,,,,,,,,,,,,,,,
180,0.005,0.969317529,46,24,0.968515556,39,26,0.974736124,65,43,,,,,,,
,,,,,,,,,,,,,,,,,
181,0.05,0.018409483,33,33,0.018421584,33,33,0.009741527,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
182,0.01,0.993288695,20,8,0.993880182,20,9,0.990324211,32,17,,,,,,,
,,,,,,,,,,,,,,,,,
183,0.005,0.994717954,17,9,0.995713021,14,8,0.995336722,27,16,,,,,,,
,,,,,,,,,,,,,,,,,
184,0.05,0.969566096,70,37,0.968593219,70,40,0.959509596,111,84,,,,,,,
,,,,,,,,,,,,,,,,,
185,0.01,0.926812596,86,54,0.924341032,89,53,0.928867542,124,98,,,,,,,
,,,,,,,,,,,,,,,,,
186,0.005,0.985210272,29,18,0.984653858,27,15,0.986992124,44,27,,,,,,,
,,,,,,,,,,,,,,,,,
187,0.05,0.952399447,55,31,0.954645004,53,33,0.962895095,106,78,,,,,,,
,,,,,,,,,,,,,,,,,
188,0.01,0.953751029,58,45,0.954287756,53,43,0.961744682,79,61,,,,,,,
,,,,,,,,,,,,,,,,,
189,0.005,0.983749942,29,20,0.982929746,28,21,0.982973898,36,29,,,,,,,
,,,,,,,,,,,,,,,,,
190,0.05,0.897217605,83,58,0.897314425,83,56,0.897309268,115,85,,,,,,,
,,,,,,,,,,,,,,,,,
191,0.01,0.99473349,13,10,0.994750004,13,9,0.99492586,29,18,,,,,,,
,,,,,,,,,,,,,,,,,
192,0.005,0.980301077,40,26,0.979248536,37,24,0.980434774,70,42,,,,,,,
,,,,,,,,,,,,,,,,,
193,0.05,0.016591838,33,33,0.016588745,33,33,0.008776002,33,33,,,,,,,
,,,,,,,,,,,,,,,,,
194,0.01,0.99673756,14,9,0.996287725,16,7,0.995320287,32,24,,,,,,,
,,,,,,,,,,,,,,,,,
195,0.005,0.995789899,15,8,0.995961541,13,7,0.99655698,28,15,,,,,,,
,,,,,,,,,,,,,,,,,
196,0.05,0.795911075,99,79,0.800966124,106,79,0.846317243,136,112,,,,,,,
,,,,,,,,,,,,,,,,,
197,0.01,0.992045861,14,10,0.992187136,15,9,0.992694882,26,17,,,,,,,
,,,,,,,,,,,,,,,,,
198,0.005,0.987897901,42,18,0.988536991,42,22,0.991704706,64,45,,,,,,,
,,,,,,,,,,,,,,,,,
199,0.05,0.413195793,128,105,0.413584753,129,104,0.398391888,152,127,,,,,,,
,,,,,,,,,,,,,,,,,
200,0.01,0.991113735,18,12,0.991752225,19,10,0.991326713,33,19,,,,,,,
,,,,,,,,,,,,,,,,,
201,0.005,0.984837422,22,12,0.984824715,24,11,0.988360293,32,21,,,,,,,
,,,,,,,,,,,,,,,,,
202,0.05,0.978825211,31,21,0.979497057,37,21,0.966601066,65,42,,,,,,,
,,,,,,,,,,,,,,,,,
203,0.01,0.98079821,40,29,0.980630932,39,27,0.9850734,76,55,,,,,,,
,,,,,,,,,,,,,,,,,
204,0.005,0.966365797,51,27,0.965269257,45,27,0.973018723,67,56,,,,,,,
,,,,,,,,,,,,,,,,,
205,0.05,0.923550156,79,59,0.923564406,82,58,0.910621182,107,81,,,,,,,
,,,,,,,,,,,,,,,,,
206,0.01,0.958442729,48,29,0.957021482,47,30,0.961383124,89,62,,,,,,,
,,,,,,,,,,,,,,,,,
207,0.005,0.991641939,14,7,0.992777372,14,7,0.992538755,24,13,,,,,,,
,,,,,,,,,,,,,,,,,
208,0.05,0.982911029,44,27,0.981454156,44,28,0.980878504,69,47,,,,,,,
,,,,,,,,,,,,,,,,,
209,0.01,0.955056005,42,29,0.95045122,43,29,0.95133756,66,50,,,,,,,
,,,,,,,,,,,,,,,,,
210,0.005,0.990911774,22,10,0.990975598,20,14,0.993348152,36,26,,,,,,,
,,,,,,,,,,,,,,,,,
211,0.05,0.965775451,44,23,0.96713316,43,25,0.967205032,69,52,,,,,,,
,,,,,,,,,,,,,,,,,
212,0.01,0.991393373,16,11,0.992326929,17,12,0.990303668,31,20,,,,,,,
,,,,,,,,,,,,,,,,,
213,0.005,0.98385869,25,15,0.981593949,23,14,0.984280438,42,27,,,,,,,
,,,,,,,,,,,,,,,,,
214,0.05,0.822041666,109,76,0.821686522,102,79,0.833814726,141,115,,,,,,,
,,,,,,,,,,,,,,,,,
215,0.01,0.956609548,55,28,0.955530358,49,32,0.968277381,68,47,,,,,,,
,,,,,,,,,,,,,,,,,
216,0.005,0.988845562,25,17,0.9870614,29,16,0.980993545,43,30,,,,,,,
,,,,,,,,,,,,,,,,,
217,0.05,0.956609548,57,40,0.958466007,54,35,0.962130892,84,66,,,,,,,
,,,,,,,,,,,,,,,,,
218,0.01,0.950240022,52,39,0.950606545,52,35,0.95466143,85,66,,,,,,,
